體制,學校,地址,英文地址,經緯度
高中,市立成功中學,臺北市中正區幸福里濟南路1段71號,"No. 71, Section 1, Jinan Road, Zhongzheng District, Taipei City, Taiwan 100","25.0423335, 121.5236872"
高中,市立北一女中,臺北市中正區建國里重慶南路1段165號,"No. 135-1, Section 1, Chongqing South Road, Zhongzheng District, Taipei City, Taiwan 100","25.041934, 121.513307"
高中,市立明倫高中,臺北市大同區重慶里承德路3段336號,"No. 336, Section 3, Chengde Road, Datong District, Taipei City, Taiwan 103","25.0762461, 121.5193385"
高中,市立成淵高中,臺北市大同區承德路二段235號,"No. 235-1, Section 2, Chengde Road, Datong District, Taipei City, Taiwan 103","25.0609739, 121.5191368"
高中,市立華江高中,臺北市萬華區日善里西藏路213號,"No. 213, Xizang Road, Wanhua District, Taipei City, Taiwan 108","25.0285424, 121.4963425"
高中,市立大理高中,臺北市萬華區綠堤里長順街2號,"No. 2, Zhangshun Street, Wanhua District, Taipei City, Taiwan 108","25.040302, 121.504089"
高中,市立景美女中,臺北市文山區樟文里木新路3段312號,"No. 312, Section 3, Muxin Road, Wenshan District, Taipei City, Taiwan 116","24.9807217, 121.5560706"
高中,市立萬芳高中,臺北市文山區興隆路3段115巷1號,"No. 1, Lane 115, Section 3, Xinglong Road, Wenshan District, Taipei City, Taiwan 116","25.0006248, 121.5589135"
高中,市立南港高中,臺北市南港區西新里向陽路21號,"No. 21, Xiangyang Road, Nangang District, Taipei City, Taiwan 115","25.0525541, 121.5950322"
高中,市立育成高中,臺北市南港區重陽路366號,"No. 366, Chongyang Road, Nangang District, Taipei City, Taiwan 115","25.0585978, 121.6093328"
高中,市立內湖高中,臺北市內湖區紫陽里文德路218號,"No. 218, Wende Road, Neihu District, Taipei City, Taiwan 114","25.0784076, 121.58662"
高中,市立麗山高中,臺北市內湖區環山路二段100號,"No. 100, Section 2, Huanshan Road, Neihu District, Taipei City, Taiwan 114","25.0841176, 121.5778933"
高中,市立南湖高中,臺北市內湖區康寧路三段220號,"No. 220, Section 3, Kangning Road, Neihu District, Taipei City, Taiwan 114","25.0664602, 121.6104853"
高中,市立陽明高中,臺北市士林區後港里中正路510號,"No. 510, Zhongzheng Road, Shilin District, Taipei City, Taiwan 111","25.0918395, 121.5171309"
高中,市立百齡高中,臺北市士林區義信里承德路4段177號,"No. 177, Section 4, Chengde Road, Shilin District, Taipei City, Taiwan 111","25.087055, 121.5229997"
高中,市立復興高中,臺北市北投區復興四路70號,"No. 70, Fuxing 4th Road, Beitou District, Taipei City, Taiwan 112","25.1435978, 121.5016739"
高中,市立中正高中,臺北市北投區文林北路77號,"No. 77, Wenlin North Road, Beitou District, Taipei City, Taiwan 112","25.1044123, 121.516608"
高中,協和祐德高中,臺北市信義區忠孝東路5段790巷27號,"No. 27, Lane 790, Section 5, Zhongxiao East Road, Xinyi District, Taipei City, Taiwan 110","25.042601, 121.58347"
高中,私立延平中學,臺北市大安區和安里建國南路1段275號,"No. 275, Section 1, Jianguo South Road, Da’an District, Taipei City, Taiwan 106","25.0362907, 121.5384815"
高中,私立金甌女中,臺北市大安區光明里杭州南路2段1號,"No. 1, Section 2, Hangzhou South Road, Da’an District, Taipei City, Taiwan 106","25.0347731, 121.5241925"
高中,私立復興實驗高中,臺北市大安區敦化南路1段262 號,"106, Taiwan, Taipei City, Da’an District, 敦化南路1段262號","25.0394419, 121.5484402"
高中,私立大同高中,臺北市中山區集英里中山北路3段40號,"No. 40, Section 3, Zhongshan N Rd, Zhongshan District, Taipei City, Taiwan 10491","25.0671544, 121.521804"
高中,私立強恕中學,臺北市中正區板溪里汀州路二段143號,"No. 143, Section 2, Tingzhou Road, Zhongzheng District, Taipei City, Taiwan 100","25.0250164, 121.5199408"
高中,私立靜修高中,臺北市大同區雙連里寧夏路59號,"No. 59, Ningxia Road, Datong District, Taipei City, Taiwan 103","25.057931, 121.5154866"
高中,私立東山高中,臺北市文山區老泉里老泉街26巷3號,"No. 3, Lane 26, Laoquan Street, Wenshan District, Taipei City, Taiwan 116","24.972692, 121.5617191"
高中,私立滬江高中,臺北市文山區景美里羅斯福路6段336號,"No. 336, Section 6, Roosevelt Rd, Wenshan District, Taipei City, Taiwan 116","24.9894876, 121.5388849"
高中,私立大誠高中,臺北市文山區萬興里秀明路2段175號,"No. 175, Section 2, Xiuming Road, Wenshan District, Taipei City, Taiwan 116","24.9910526, 121.578524"
高中,私立再興中學,臺北市文山區明義里興隆路4段2號,"No. 2-1號, Section 4, Xinglong Road, Wenshan District, Taipei City, Taiwan 116","24.9900513, 121.5593087"
高中,私立景文高中,臺北市文山區木新里保儀路127號,"No. 127, Baoyi Road, Wenshan District, Taipei City, Taiwan 116","24.985367, 121.567397"
高中,私立靜心高中,臺北市文山區興隆路二段46號,"No. 46, Section 2, Xinglong Road, Wenshan District, Taipei City, Taiwan 116","24.998863, 121.5467338"
高中,私立文德女中,臺北市內湖區紫陽里成功路3段70號,"No. 70, Section 3, Chenggong Road, Neihu District, Taipei City, Taiwan 114","25.0776217, 121.5895146"
高中,私立方濟中學,臺北市內湖區紫星里成功路三段61號,"No. 61, Section 3, Chenggong Road, Neihu District, Taipei City, Taiwan 114","25.0773094, 121.5905296"
高中,私立達人女中,臺北市內湖區湖濱里內湖路2段314號,"No. 314, Section 2, Neihu Road, Neihu District, Taipei City, Taiwan 114","25.0812531, 121.5876434"
高中,私立泰北高中,臺北市士林區福林里福林路240號,"No. 240號, Fulin Road, Shilin District, Taipei City, Taiwan 111","25.0973651, 121.5339431"
高中,私立衛理女中,臺北市士林區臨溪里至善路2段321號,"No. 321, Sec 2, Zhi Shan Rd, Shilin District, Taipei City, Taiwan 111","25.101757, 121.55231"
高中,私立華興中學,臺北市士林區芝山里仰德大道1段101號,"No. 90-1, Section 2, Yangde Boulevard, Shilin District, Taipei City, Taiwan 111","25.1071029, 121.545592"
高中,私立薇閣高中,臺北市北投區中心里珠海路50號,"No. 50, Zhuhai Road, Beitou District, Taipei City, Taiwan 112","25.1395248, 121.5039711"
高中,幼華高中,臺北市北投區北投路二段55號,"No. 55, Section 2, Beitou Road, Beitou District, Taipei City, Taiwan 112","25.1333929, 121.4968898"
高中,私立奎山實中,臺北市北投區榮華里明德路200號,"No. 200, Mingde Road, Beitou District, Taipei City, Taiwan 112","25.112998, 121.5223028"
高職,市立松山家商,臺北市信義區松山路655號,"No. 655, Songshan Rd, Xinyi District, Taipei City, Taiwan 110","25.0350169, 121.5805361"
高職,市立松山工農,臺北市信義區忠孝東路5段236巷15號,"No. 15, Lane 236, Section 5, Zhongxiao East Road, Xinyi District, Taipei City, Taiwan 110","25.039629, 121.5721227"
高職,市立大安高工,臺北市大安區龍雲里復興南路2段52號,"No. 52, Section 2, Fuxing South Road, Da’an District, Taipei City, Taiwan 106","25.0325827, 121.5430442"
高職,市立木柵高工,臺北市文山區博嘉里木柵路4段77號,"No. 77, Muzha Road, Section 4, Wenshan District, Taipei City, Taiwan 116","24.9968638, 121.5726322"
高職,市立南港高工,臺北市南港區南港里興中路29號,"No. 29, Xingzhong Road, Nangang District, Taipei City, Taiwan 115","25.0563397, 121.6072921"
高職,市立內湖高工,臺北市內湖區港墘里內湖路1段520號,"No. 520, Section 1, Neihu Rd, Neihu District, Taipei City, Taiwan 114","25.0794174, 121.5753203"
高職,市立士林高商,臺北市士林區後港里士商路150號,"No. 150, Shishang Road, Shilin District, Taipei City, Taiwan 111","25.0945958, 121.5166109"
高職,私立普林斯頓高中,臺北市松山區美仁里寧安街12號,"No. 12, Nong'an Street, Zhongshan District, Taipei City, Taiwan 10491","25.0648531, 121.5240703"
高職,私立東方工商,臺北市大安區信義路四段186巷8號,"No. 8, Lane 186, Section 4, Xinyi Road, Da’an District, Taipei City, Taiwan 106","25.0322561, 121.5514468"
高職,私立喬治工商,臺北市大安區基隆路2段172號,"No. 172-3, Section 2, Keelung Rd, Da’an District, Taipei City, Taiwan 106","25.026285, 121.553986"
高職,私立開平餐飲,臺北市大安區復興南路2段148巷24號,"No. 24, Lane 148, Section 2, Fuxing South Road, Da’an District, Taipei City, Taiwan 106","25.0285375, 121.5423129"
高職,私立稻江護家,臺北市中山區新生北路三段55號,"No. 55, Section 3, Xinsheng North Road, Zhongshan District, Taipei City, Taiwan 10491","25.065802, 121.5286327"
高職,開南高中,臺北市中正區東門里濟南路1段6號,"No. 6, Section 1, Jinan Road, Zhongzheng District, Taipei City, Taiwan 100","25.0424202, 121.5218211"
高職,私立稻江高商,臺北市大同區隆和里民權西路225巷24號,"No. 24, Lane 225, Minquan West Road, Datong District, Taipei City, Taiwan 103","25.0643492, 121.5119755"
高職,私立華岡藝校,臺北市士林區建業路73巷8號,"No. 8, Lane 73, Jianye Road, Shilin District, Taipei City, Taiwan 111","25.1371454, 121.5490945"
高職,私立惇敘工商,臺北市北投區泉源路221號,"No. 221, Quanyuan Road, Beitou District, Taipei City, Taiwan 112","25.1448466, 121.5269802"
高中職進修學校,私立強恕中學(附設進校),臺北市中正區板溪里汀州路二段143號,"No. 143, Section 2, Tingzhou Road, Zhongzheng District, Taipei City, Taiwan 100","25.0250164, 121.5199408"
高中職進修學校,私立南華高中進修學校,臺北市中正區富水里汀州路3段58號,"No. 58, Section 3, Tingzhou Road, Zhongzheng District, Taipei City, Taiwan 100","25.0156175, 121.5311921"
高中職進修學校,私立志仁中學進修學校,臺北市大同區建泰里南京西路64巷17號,"No. 17, Lane 64, Nanjing West Road, Datong District, Taipei City, Taiwan 103","25.0521619, 121.518781"
高中職進修學校,私立大誠高中(附設進校),臺北市文山區萬興里秀明路2段175號,"No. 175, Section 2, Xiuming Road, Wenshan District, Taipei City, Taiwan 116","24.9910526, 121.578524"
高中職進修學校,私立泰北高中(附設進校),臺北市士林區福林里福林路240號,"No. 240號, Fulin Road, Shilin District, Taipei City, Taiwan 111","25.0973651, 121.5339431"
高中職進修學校,市立大安高工(附設進校),臺北市大安區龍雲里復興南路2段52號,"No. 52, Section 2, Fuxing South Road, Da’an District, Taipei City, Taiwan 106","25.0325827, 121.5430442"
高中職進修學校,市立士林高商(附設進校),臺北市士林區後港里士商路150號,"No. 150, Shishang Road, Shilin District, Taipei City, Taiwan 111","25.0945958, 121.5166109"
高中職進修學校,私立東方工商(附設進校),臺北市大安區信義路四段186巷8號,"No. 8, Lane 186, Section 4, Xinyi Road, Da’an District, Taipei City, Taiwan 106","25.0322561, 121.5514468"
高中職進修學校,私立喬治工商(附設進校),臺北市大安區基隆路2段172號,"No. 172-3, Section 2, Keelung Rd, Da’an District, Taipei City, Taiwan 106","25.026285, 121.553986"
高中職進修學校,私立開平餐飲(附設進校),臺北市大安區復興南路2段148巷24號,"No. 24, Lane 148, Section 2, Fuxing South Road, Da’an District, Taipei City, Taiwan 106","25.0285375, 121.5423129"
高中職進修學校,私立稻江護家(附設進校),臺北市中山區新生北路三段55號,"No. 55, Section 3, Xinsheng North Road, Zhongshan District, Taipei City, Taiwan 10491","25.065802, 121.5286327"
高中職進修學校,私立稻江高商(附設進校),臺北市大同區隆和里民權西路225巷24號,"No. 24, Lane 225, Minquan West Road, Datong District, Taipei City, Taiwan 103","25.0643492, 121.5119755"
國中,國立師大附中(國中部),臺北市大安區和安里信義路3段143號,"No. 143, Section 3, Xinyi Road, Da’an District, Taipei City, Taiwan 106","25.0336585, 121.540488"
國中,國立政大附中(國中部),臺北市文山區政大一街353號,"No. 353, Zhengda 1st Street, Wenshan District, Taipei City, Taiwan 116","24.9872162, 121.5858297"
國中,國立台灣戲曲學院(國中部),臺北市內湖路二段177號,"No. 177, Section 2, Neihu Road, Neihu District, Taipei City, Taiwan 114","25.0816037, 121.586552"
國中,市立介壽國中,臺北市松山區介壽里延壽街401號,"No. 401, Yanshou Street, Songshan District, Taipei City, Taiwan 105","25.0564253, 121.5564352"
國中,市立民生國中,臺北市松山區新東里新東街30巷1號,"No. 1, Lane 30, Xindong Street, Songshan District, Taipei City, Taiwan 105","25.0598048, 121.5667367"
國中,市立中山國中,臺北市松山區復興北路361巷7號,"No. 7, Lane 361, Fuxing North Road, Songshan District, Taipei City, Taiwan 105","25.0606185, 121.5455308"
國中,市立敦化國中,臺北市松山區南京東路三段300號,"No. 300, Section 3, Nanjing East Road, Songshan District, Taipei City, Taiwan 105","25.0515711, 121.5467135"
國中,市立興雅國中,臺北市信義區松德路168巷15號,"No. 15, Lane 168, Songde Road, Xinyi District, Taipei City, Taiwan 110","25.0364201, 121.572237"
國中,市立永吉國中,臺北市信義區四育里8鄰松隆路161號,"No. 161號, Songlong Road, Xinyi District, Taipei City, Taiwan 110","25.0483336, 121.5741587"
國中,市立瑠公國中,臺北市信義區福德街221巷15號,"No. 15, Lane 221, Fude Street, Xinyi District, Taipei City, Taiwan 110","25.0370722, 121.5854372"
國中,市立信義國中,臺北市信義區松仁路158巷1號,"110, Taiwan, Taipei City, Xinyi District, 松仁路158巷1號","25.0286896, 121.5675836"
國中,市立仁愛國中,臺北市大安區敦安里仁愛路4段130號,"No. 130, Section 4, Ren'ai Road, Da’an District, Taipei City, Taiwan 106","25.0374832, 121.5505879"
國中,市立大安國中,臺北市大安區大安路2段63號,"No. 63, Section 2, Da'an Road, Da’an District, Taipei City, Taiwan 106","25.0308602, 121.54625"
國中,芳和實驗國中,臺北市大安區芳和里臥龍街170號,"No. 170, Wolong Street, Da’an District, Taipei City, Taiwan 106","25.0187502, 121.5502711"
國中,市立金華國中,臺北市大安區福住里新生南路2段32號,"No. 32, Section 2, Xinsheng South Road, Da’an District, Taipei City, Taiwan 106","25.0312012, 121.533178"
國中,市立懷生國中,臺北市大安區忠孝東路三段248巷30號,"No. 30, Lane 248, Section 3, Zhongxiao East Road, Da’an District, Taipei City, Taiwan 106","25.0403827, 121.5411477"
國中,民族實驗國中,臺北市大安區羅斯福路4段113巷13號,"No. 13, Lane 113, Section 4, Roosevelt Rd, Da’an District, Taipei City, Taiwan 106","25.0111861, 121.5388738"
國中,市立龍門國中,臺北市大安區建國南路二段269號,"No. 269, Section 2, Jianguo South Road, Da’an District, Taipei City, Taiwan 106","25.0246733, 121.5382078"
國中,市立長安國中,臺北市中山區興亞里松江路70巷11號,"No. 11, Lane 70, Songjiang Road, Zhongshan District, Taipei City, Taiwan 10491","25.0493929, 121.5318545"
國中,市立北安國中,臺北市中山區劍潭里明水路325號,"No. 325, Mingshui Road, Zhongshan District, Taipei City, Taiwan 10491","25.0777783, 121.5415678"
國中,市立新興國中,臺北市中山區聚葉里林森北路511號,"No. 511, Linsen N Rd, Zhongshan District, Taipei City, Taiwan 10491","25.0619755, 121.5257781"
國中,市立五常國中,臺北市中山區下埤里復興北路430巷1號,"No. 1, Lane 430, Fuxing North Road, Zhongshan District, Taipei City, Taiwan 10491","25.0634804, 121.543251"
國中,市立濱江國中,臺北市中山區樂群二路262號,"No. 262, Lequn 2nd Road, Zhongshan District, Taipei City, Taiwan 10491","25.07955, 121.5607499"
國中,市立螢橋國中,臺北市中正區林興里汀州街3段4號,"No. 4, Section 3, Tingzhou Road, Zhongzheng District, Taipei City, Taiwan 100","25.0194559, 121.5261508"
國中,市立古亭國中,臺北市中正區中華路2段465號,"No. 465, Section 2, Zhonghua Road, Zhongzheng District, Taipei City, Taiwan 100","25.0246132, 121.5110473"
國中,市立南門國中,臺北市中正區南門里廣州街6號,"No. 6, Guangzhou Street, Zhongzheng District, Taipei City, Taiwan 100","25.0352657, 121.5090687"
國中,市立弘道國中,臺北市中正區公園路21號,"No. 21, Guangming Road, Beitou District, Taipei City, Taiwan 112","25.1326535, 121.4991827"
國中,市立中正國中,臺北市中正區新營里愛國東路158號,"No. 158, Aiguo East Road, Zhongzheng District, Taipei City, Taiwan 100","25.0323588, 121.5219754"
國中,市立建成國中,臺北市大同區長安西路37之1號,"No. 37, Chang'an West Road, Datong District, Taipei City, Taiwan 103","25.0504086, 121.5196574"
國中,市立忠孝國中,臺北市大同區玉泉里西寧北路32號,"No. 32, Xining North Road, Datong District, Taipei City, Taiwan 103","25.0512227, 121.5082177"
國中,市立民權國中,臺北市大同區重慶北路三段1號,"No. 1, Section 1, Zhongyang South Road, Beitou District, Taipei City, Taiwan 112","25.1330829, 121.5016116"
國中,市立蘭州國中,臺北市大同區至聖里大龍街187巷1號,"No. 1, Lane 187, Dalong Street, Datong District, Taipei City, Taiwan 103","25.069322, 121.5167356"
國中,市立重慶國中,臺北市大同區重慶里敦煌路19號,"No. 19, Dunhuang Road, Datong District, Taipei City, Taiwan 103","25.0759232, 121.5179978"
國中,市立萬華國中,臺北市萬華區日善里西藏路201號,"No. 201, Xizang Road, Wanhua District, Taipei City, Taiwan 108","25.0291092, 121.4987891"
國中,市立雙園國中,臺北市萬華區和德里興義街2號,"No. 2, Zhangshun Street, Wanhua District, Taipei City, Taiwan 108","25.040302, 121.504089"
國中,市立龍山國中,臺北市萬華區富裕里南寧路46號,"No. 46-5, Section 2, Chang'an East Road, Zhongshan District, Taipei City, Taiwan 10491","25.0485224, 121.5322612"
國中,市立木柵國中,臺北市文山區木柵路3段102巷12號,"No. 102, Section 3, Muzha Rd, Wenshan District, Taipei City, Taiwan 116","24.9886272, 121.5674462"
國中,市立實踐國中,臺北市文山區樟林里辛亥路七段67號,"No. 67, Section 7, Xinhai Road, Wenshan District, Taipei City, Taiwan 116","24.9834293, 121.5547688"
國中,市立北政國中,臺北市文山區指南里指南路3段2巷14號,"No. 14, Lane 2, Section 3, Zhinan Road, Wenshan District, Taipei City, Taiwan 116","24.9849196, 121.5782669"
國中,市立景美國中,臺北市文山區景華里景中街27號,"No. 27, Jingzhong Street, Wenshan District, Taipei City, Taiwan 116","24.9930265, 121.542941"
國中,市立興福國中,臺北市文山區興旺里福興路80號,"No. 80, Fuxing Road, Wenshan District, Taipei City, Taiwan 116","24.9880003, 121.5347963"
國中,市立景興國中,臺北市文山區景華里景興路46巷2號,"No. 2, Lane 46, Jingxing Road, Wenshan District, Taipei City, Taiwan 116","24.9962215, 121.5442841"
國中,市立誠正國中,臺北市南港區新富里富康街1巷24號,"No. 24, Lane 1, Fukang Street, Nangang District, Taipei City, Taiwan 115","25.0542493, 121.6187775"
國中,市立成德國中,臺北市南港區成福里東新街108巷23號,"No. 23, Lane 108, Dongxin Street, Nangang District, Taipei City, Taiwan 115","25.045021, 121.5877028"
國中,市立內湖國中,臺北市內湖區紫陽里陽光街1號,"No. 1, Section 1, Zhongyang South Road, Beitou District, Taipei City, Taiwan 112","25.1330829, 121.5016116"
國中,市立麗山國中,臺北市內湖區內湖路1段629巷42號,"No. 42, Lane 629, Section 1, Neihu Road, Neihu District, Taipei City, Taiwan 114","25.0816032, 121.5756834"
國中,市立三民國中,臺北市內湖區湖興里民權東路6段45號,"No. 45, Section 6, Minquan E Rd, Neihu District, Taipei City, Taiwan 114","25.069154, 121.5864073"
國中,市立西湖國中,臺北市內湖區西湖里環山路1段27號,"No. 27, Section 1, Huanshan Road, Neihu District, Taipei City, Taiwan 114","25.0851827, 121.5657691"
國中,市立東湖國中,臺北市內湖區樂康里康樂街131號,"No. 131, Kangle Street, Neihu District, Taipei City, Taiwan 114","25.0721649, 121.6194218"
國中,市立明湖國中,臺北市內湖區葫洲里康寧路3段60號,"No. 60, Section 3, Kangning Road, Neihu District, Taipei City, Taiwan 114","25.0706196, 121.6106431"
國中,市立士林國中,臺北市士林區福德里中正路345號,"No. 345, Zhongzheng Road, Shilin District, Taipei City, Taiwan 111","25.0943734, 121.522645"
國中,市立蘭雅國中,臺北市士林區三玉里忠誠路2段51號,"No. 51, Section 2, Zhongcheng Road, Shilin District, Taipei City, Taiwan 111","25.110566, 121.5309054"
國中,市立至善國中,臺北市士林區臨溪里至善路2段360號,"No. 360, Sec 2, Zhi Shan Rd, Shilin District, Taipei City, Taiwan 111","25.1036391, 121.5555851"
國中,市立格致國中,臺北市士林區陽明里仰德大道四段75號,"No. 75, Section 4, Yangde Boulevard, Shilin District, Taipei City, Taiwan 111","25.1308722, 121.546345"
國中,市立福安國中,臺北市士林區福安里延平北路7段250號,"No. 250, Section 7, Yanping North Road, Shilin District, Taipei City, Taiwan 111","25.1028546, 121.4880705"
國中,市立天母國中,臺北市士林區天和里天母東路120號,"No. 120, Tianmu East Road, Shilin District, Taipei City, Taiwan 111","25.1180695, 121.5382148"
國中,市立北投國中,臺北市北投區溫泉里溫泉路62號,"No. 62, Wenquan Road, Beitou District, Taipei City, Taiwan 112","25.134939, 121.5046099"
國中,市立新民國中,臺北市北投區林泉里新民路10號,"No. 10-1, Section 1, Hangzhou South Road, Zhongzheng District, Taipei City, Taiwan 100","25.042796, 121.5270857"
國中,市立明德國中,臺北市北投區建民里明德路50號,"No. 50, Zhuhai Road, Beitou District, Taipei City, Taiwan 112","25.1395248, 121.5039711"
國中,市立桃源國中,臺北市北投區一德里中央北路4段48號,"No. 48, Section 4, Zhongyang North Road, Beitou District, Taipei City, Taiwan 112","25.13476, 121.477339"
國中,市立石牌國中,臺北市北投區吉利里石牌路1段139號,"No. 1, Shipai Road, Beitou District, Taipei City, Taiwan 112","25.1126143, 121.5095241"
國中,市立關渡國中,臺北市北投區關渡里知行路212號,"No. 212, Zhixing Road, Beitou District, Taipei City, Taiwan 112","25.1198847, 121.4671448"
國中,私立立人國際國民中小學,臺北市大安區義榮里安和路二段99號,"No. 99, Section 2, Anhe Road, Da’an District, Taipei City, Taiwan 106","25.0298352, 121.5519283"
國中,市立西松高中(國中部),臺北市松山區鵬程里健康路325巷7號,"No. 7, Lane 325, Jiankang Road, Songshan District, Taipei City, Taiwan 105","25.05537, 121.5663535"
