類別,景點,景點地址,英文地址,經緯度
夜市老街,永康街,台北市大安區永康街33號,"No. 33, Yongkang Street, Da’an District, Taipei City, Taiwan 106","25.0308797, 121.5295738"
夜市老街,青田街,台北市大安區青田街6號,"No. 6, Qingtian Street, Da’an District, Taipei City, Taiwan 106","25.0279104, 121.5319157"
夜市老街,東區地下街,台北市大安區大安路一段77號,"No. 77, Section 1, Da'an Road, Da’an District, Taipei City, Taiwan 106","25.0419631, 121.5463538"
藝文展館,國立故宮博物院,台北市士林區至善路二段221號,"No. 221, Section 2, Zhi Shan Road, Shilin District, Taipei City, Taiwan 111","25.1001805, 121.5488112"
藝文展館,順益臺灣原住民博物館,台北市士林區至善路二段282號,"No. 284, Section 2, Zhi Shan Road, Shilin District, Taipei City, Taiwan 111","25.1009352, 121.5519636"
藝文展館,國立臺灣科學教育館,台北市士林區士商路189號,"No. 189, Shishang Road, Shilin District, Taipei City, Taiwan 111","25.0961275, 121.5166874"
藝文展館,臺北市立天文科學教育館,台北市士林區基河路363號,"No. 363, Jihe Road, Shilin District, Taipei City, Taiwan 111","25.0958292, 121.5182994"
藝文展館,臺北偶戲館,台北市松山區市民大道五段99號2樓,"No. 99, Section 5, Civic Blvd, Songshan District, Taipei City, Taiwan 105","25.0477411, 121.5613359"
藝文展館,北投文物館,台北市北投區幽雅路32號,"No. 32, Youya Road, Beitou District, Taipei City, Taiwan 112","25.1381804, 121.5144826"
藝文展館,凱達格蘭文化館,台北市北投區中山路3-1號,"No. 3-1, Zhongshan Road, Beitou District, Taipei City, Taiwan 112","25.137067, 121.5057882"
藝文展館,國立中正紀念堂,台北市中正區中山南路21號,"No. 21, Zhongshan South Road, Zhongzheng District, Taipei City, Taiwan 100","25.0372308, 121.5174577"
藝文展館,國立歷史博物館,台北市中正區南海路49號,"No. 49, Nanhai Road, Zhongzheng District, Taipei City, Taiwan 100","25.031454, 121.511227"
藝文展館,國家兩廳院,台北市中正區中山南路21-1號,"No. 21-1, Zhongshan South Road, Zhongzheng District, Taipei City, Taiwan 100","25.0439998, 121.5195803"
藝文展館,國立臺灣博物館,台北市中正區襄陽路2號,"No. 2, Xiangyang Road, Zhongzheng District, Taipei City, Taiwan 100","25.0428923, 121.5150298"
藝文展館,自來水園區-自來水博物館,台北市中正區思源街1號,"No. 1, Siyuan Street, Zhongzheng District, Taipei City, Taiwan 100","25.0125415, 121.5300049"
藝文展館,國立臺灣藝術教育館,台北市中正區南海路47號,"No. 47, Nanhai Road, Zhongzheng District, Taipei City, Taiwan 100","25.0317407, 121.5118945"
藝文展館,紀州庵文學森林,台北市中正區同安街107號,"No. 107, Tong'an Street, Zhongzheng District, Taipei City, Taiwan 100","25.0215579, 121.5205341"
藝文展館,國立國父紀念館,台北市信義區仁愛路四段505號,"No. 505, Section 4, Ren'ai Road, Xinyi District, Taipei City, Taiwan 110","25.0396974, 121.5603729"
藝文展館,臺北探索館,台北市信義區市府路1號,"No. 1, City Hall Road, Xinyi District, Taipei City, Taiwan 110","25.037531, 121.5639969"
藝文展館,臺北故事館,台北市中山區中山北路三段181-1號,"No. 181-1, Section 3, Zhongshan North Road, Zhongshan District, Taipei City, Taiwan 10491","25.0639349, 121.522626"
藝文展館,臺北市立美術館,台北市中山區中山北路三段181號,"No. 181, Section 3, Zhongshan North Road, Zhongshan District, Taipei City, Taiwan 10491","25.0725778, 121.5248468"
藝文展館,林安泰古厝民俗文物館,台北市中山區濱江街5號,"No. 5, Binjiang Street, Zhongshan District, Taipei City, Taiwan 10491","25.071749, 121.5303571"
藝文展館,臺北當代藝術館,台北市大同區長安西路39號,"No. 39, Chang'an West Road, Datong District, Taipei City, Taiwan 103","25.0507246, 121.5189745"
旅遊景點,芝山文化生態綠園,台北市士林區雨聲街120號,"No. 120, Yusheng Street, Shilin District, Taipei City, Taiwan 111","25.104036, 121.532685"
旅遊景點,內雙溪自然中心藥用植物園,台北市士林區至善路三段150巷136號,"No. 136, Lane 150, Section 3, Zhishan Road, Shilin District, Taipei City, Taiwan 111","25.1156288, 121.5769275"
旅遊景點,臺北市立兒童新樂園,台北市士林區承德路五段55號,"No. 55, Section 5, Chengde Road, Shilin District, Taipei City, Taiwan 111","25.0972355, 121.5149423"
旅遊景點,臺北小巨蛋,台北市松山區南京東路四段2號,"No. 2, Section 4, Nanjing East Road, Songshan District, Taipei City, Taiwan 105","25.0507933, 121.5498896"
旅遊景點,松山機場觀景台,台北市松山區敦化北路340之9號,"No. 340-9, Dunhua North Road, Songshan District, Taipei City, Taiwan 105","25.0564429, 121.549585"
旅遊景點,陽明山國家公園,台北市北投區竹子湖路1-20號,"No. 1-20, Zhuzihu Road, Beitou District, Taipei City, Taiwan 112","25.175496, 121.5367887"
旅遊景點,陽明山溫泉,台北市北投區竹子湖路69號,"No. 69, Zhuzihu Road, Beitou District, Taipei City, Taiwan 112","25.175496, 121.5367887"
旅遊景點,新北投溫泉區,台北市北投區中山路6號,"No. 6, Zhongshan Road, Beitou District, Taipei City, Taiwan 112","25.1369293, 121.5087651"
旅遊景點,關渡自然公園,台北市北投區關渡路55號,"No. 55, Guandu Road, Beitou District, Taipei City, Taiwan 112","25.119364, 121.4692927"
旅遊景點,關渡碼頭,台北市北投區知行路360-1號,"No. 360-1, Zhixing Road, Beitou District, Taipei City, Taiwan 112","25.117352, 121.463494"
旅遊景點,陽明書屋,台北市北投區中興路12號,"No. 12, Zhongxing Road, Beitou District, Taipei City, Taiwan 112","25.1626515, 121.5405943"
旅遊景點,北投圖書館,台北市北投區光明路251號,"No. 251, Guangming Road, Beitou District, Taipei City, Taiwan 112","25.136298, 121.506296"
旅遊景點,總統府,台北市中正區重慶南路一段122號,"No. 122, Section 1, Chongqing South Road, Zhongzheng District, Taipei City, Taiwan 100","25.0403593, 121.5122878"
旅遊景點,臺北植物園,台北市中正區南海路53號,"No. 53, Nanhai Road, Zhongzheng District, Taipei City, Taiwan 100","25.031211, 121.510191"
旅遊景點,臺北二二八和平公園,台北市中正區凱達格蘭大道3號,"No. 3, Ketagalan Blvd., Zhongzheng District, Taipei City, Taiwan 100","25.0403577, 121.5154926"
旅遊景點,華山1914文化創意產業園區,台北市中正區八德路一段1號,"No. 1, Section 1, Bade Road, Zhongzheng District, Taipei City, Taiwan 100","25.0433045, 121.5292957"
旅遊景點,寶藏巖國際藝術村,台北市中正區汀州路三段230巷14弄2號,"No. 2, Alley 14, Lane 230, Section 3, Tingzhou Road, Zhongzheng District, Taipei City, Taiwan 100","25.0106536, 121.5323827"
旅遊景點,台北101,台北市信義區信義路五段7號,"No. 7, Section 5, Xinyi Road, Xinyi District, Taipei City, Taiwan 110","25.033976, 121.5645389"
旅遊景點,松山文創園區,台北市信義區光復南路133號,"No. 133, Guangfu South Road, Xinyi District, Taipei City, Taiwan 110","25.0436839, 121.55935"
旅遊景點,四四南村,台北市信義區松勤街50號,"No. 50, Songqin Street, Xinyi District, Taipei City, Taiwan 110","25.0319706, 121.5618718"
旅遊景點,臺北忠烈祠,台北市中山區北安路139號,"No. 139, Beian Road, Zhongshan District, Taipei City, Taiwan 10491","25.0783811, 121.5331279"
旅遊景點,美麗華百樂園,台北市中山區敬業三路20號,"No. 20, Jingye 3rd Road, Zhongshan District, Taipei City, Taiwan 10491","25.0833072, 121.5571648"
旅遊景點,花博公園,台北市中山區玉門街1號,"No. 1, Yumen Street, Zhongshan District, Taipei City, Taiwan 10491","25.06974, 121.5221465"
旅遊景點,大佳碼頭,台北市中山區大佳碼頭,"Dajia, Zhongshan District, Taipei City, Taiwan 10491","25.07469, 121.5411006"
旅遊景點,光點台北,台北市中山區中山北路二段18號,"No. 18, Section 2, Zhongshan North Road, Zhongshan District, Taipei City, Taiwan 10491","25.053279, 121.522161"
旅遊景點,美堤河濱公園,台北市中山區樂群一路2號,"No. 2, Lequn 1st Road, Zhongshan District, Taipei City, Taiwan 104","25.0762151, 121.5600105"
旅遊景點,大稻埕碼頭、藍色公路,台北市大同區大稻埕碼頭,"Dadaocheng Dock, Datong District, Taipei City, Taiwan 103","25.0567649, 121.5078365"
旅遊景點,貓空茶園,台北市文山區指南路三段,"No. 16-8, Lane 38, Section 3, Zhinan Road, Wenshan District, Taipei City, Taiwan 116","24.971998, 121.585423"
旅遊景點,臺北市立動物園,台北市文山區新光路二段30號,"No. 30, Section 2, Xinguang Road, Wenshan District, Taipei City, Taiwan 116","24.9983305, 121.5810084"
旅遊景點,貓空纜車,台北市文山區新光路二段8號,"No. 8, Section 2, Xinguang Road, Wenshan District, Taipei City, Taiwan 116","24.9960849, 121.5763123"
旅遊景點,建國假日花市、玉市,台北市大安區建國南路一段,"No. 69, Section 3, Ren'ai Road, Da’an District, Taipei City, Taiwan 106","25.0382309, 121.5380452"
旅遊景點,大安森林公園,台北市大安區新生南路二段1號,"No. 1, Section 2, Xinsheng South Road, Da’an District, Taipei City, Taiwan 106","25.0310609, 121.535552"
旅遊景點,碧湖公園,台北市內湖區內湖路二段175號,"No. 175, Section 2, Neihu Road, Neihu Distrist, Taipei City, Taiwan 114","25.0827519, 121.5829353"
旅遊景點,白石湖吊橋,台北市內湖區碧山路26號,"No. 26, Bishan Road, Neihu District, Taipei City, Taiwan 114","25.0986318, 121.5873305"
旅遊景點,大湖公園,台北市內湖區成功路五段31號,"No. 31, Section 5, Chenggong Road, Neihu District, Taipei City, Taiwan 114","25.0827671, 121.6039154"
古蹟寺廟,士林官邸,台北市士林區福林路60號,"No. 60, Fulin Road, Shilin District, Taipei City, Taiwan 111","25.094898, 121.530152"
古蹟寺廟,松山慈祐宮,台北市松山區八德路四段761號,"No. 761, Section 4, Bade Road, Songshan District, Taipei City, Taiwan 105","25.0510957, 121.5778209"
古蹟寺廟,關渡宮,台北市北投區知行路360號,"No. 360, Zhixing Road, Beitou District, Taipei City, Taiwan 112","25.1171453, 121.4629934"
古蹟寺廟,陽明山中山樓,台北市北投區陽明路二段15號,"No. 15, Section 2, Yangming Road, Beitou District, Taipei City, Taiwan 112","25.1556188, 121.5526547"
古蹟寺廟,北投梅庭,台北市北投區中山路6號,"No. 6, Zhongshan Road, Beitou District, Taipei City, Taiwan 112","25.1369293, 121.5087651"
古蹟寺廟,國史館,台北市中正區長沙街一段2號,"No. 2, Section 1, Changsha Street, Zhongzheng District, Taipei City, Taiwan 100","25.0399941, 121.510812"
古蹟寺廟,臺北龍山寺,台北市萬華區廣州街211號,"No. 211, Guangzhou Street, Wanhua District, Taipei City, Taiwan 108","25.0367799, 121.4999314"
古蹟寺廟,清水巖祖師廟,台北市萬華區康定路81號,"No. 81, Kangding Road, Wanhua District, Taipei City, Taiwan 108","25.0402808, 121.5026482"
古蹟寺廟,青山宮,台北市萬華區貴陽街二段218號,"No. 218, Section 2, Guiyang Street, Wanhua District, Taipei City, Taiwan 108","25.0399968, 121.4995367"
古蹟寺廟,學海書院,台北市萬華區環河南路二段93號,"No. 93, Section 2, Huanhe South Road, Wanhua District, Taipei City, Taiwan 108","25.0363299, 121.495628"
古蹟寺廟,西門紅樓,台北市萬華區成都路10號,"No. 10, Chengdu Road, Wanhua District, Taipei City, Taiwan 108","25.0420577, 121.5069538"
古蹟寺廟,行天宮,台北市中山區民權東路二段109號,"No. 109, Section 2, Minquan East Road, Zhongshan District, Taipei City, Taiwan 10491","25.0628658, 121.5338733"
古蹟寺廟,大龍峒保安宮,台北市大同區哈密街61號,"No. 61, Hami Street, Datong District, Taipei City, Taiwan 103","25.0731023, 121.5154135"
古蹟寺廟,臺北孔廟,台北市大同區大龍街275號,"No. 275, Dalong Street, Datong District, Taipei City, Taiwan 103","25.0727623, 121.5161793"
古蹟寺廟,臺北霞海城隍廟,台北市大同區迪化街一段61號,"No. 61, Section 1, Dihua Street, Datong District, Taipei City, Taiwan 103","25.0556001, 121.510168"
古蹟寺廟,指南宮,台北市文山區萬壽路115號,"No. 115, Wanshou Road, Wenshan District, Taipei City, Taiwan 116","24.9798453, 121.5866321"
古蹟寺廟,碧山巖開漳聖王廟,台北市內湖區碧山路24號,"No. 24, Bishan Road, Neihu District, Taipei City, Taiwan 114","25.097074, 121.5877104"
