捷運線,捷運站名,捷運站地址,地址,經緯度
板南線,亞東醫院,新北市板橋區南雅南路2段17號B1,"B1, No. 17, Section 2, Nanya South Road, Banqiao District, New Taipei City, Taiwan 220","24.9974796, 121.4523829"
淡水信義線,信義安和,臺北市大安區信義路4段212之1號B1,"B1, No. 212, Section 4, Xinyi Road, Da’an District, Taipei City, Taiwan 106","25.0330772, 121.552085"
中和新蘆線,先嗇宮,新北市三重區重新路5段515號B1,"241, Taiwan, New Taipei City, Sanchong District, Section 5, Chongxin Road, 515號B1樓","25.0465775, 121.4713167"
文湖線,內湖,臺北市內湖區成功路4段186號,"No. 186, Section 4, Chenggong Road, Neihu District, Taipei City, Taiwan 114","25.0838996, 121.5942576"
松山新店線,公館,臺北市中正區羅斯福路4段64之1號B1,"100, Taiwan, Taipei City, Zhongzheng District, Section 4, Roosevelt Rd, 64之1號B1","25.014589, 121.534176"
文湖線,六張犁,臺北市大安區和平東路3段168號,"No. 168, Section 3, Heping East Road, Da’an District, Taipei City, Taiwan 106","25.024896, 121.541769"
文湖線,劍南路,臺北市中山區北安路798號,"No. 798, Beian Road, Zhongshan District, Taipei City, Taiwan 10491","25.084709, 121.555612"
淡水信義線,劍潭,臺北市士林區中山北路5段65號,"No. 65, Section 5, Zhongshan North Road, Shilin District, Taipei City, Taiwan 111","25.084873, 121.525078"
文湖線,動物園,臺北市文山區新光路2段32號,"No. 32, Section 2, Xinguang Road, Wenshan District, Taipei City, Taiwan 116","24.9980685, 121.57948"
淡水信義線,北投,臺北市北投區光明路1號,"No. 1, Fude Road, Shilin District, Taipei City, Taiwan 111","25.093535, 121.52623"
松山新店線,北門,臺北市大同區塔城街10號,"No. 10, Tacheng Street, Datong District, Taipei City, Taiwan 103","25.0495568, 121.5101818"
環狀線,十四張,新北市新店區民權路282號,"231, Taiwan, New Taipei City, Xindian District, 民權路282號","24.9841935, 121.5280923"
松山新店線,南京三民,臺北市松山區南京東路5段237號,"No. 260-5, Section 3, Nanjing East Road, Songshan District, Taipei City, Taiwan 105","25.051388, 121.544913"
文湖線,南京復興,臺北市松山區南京東路3段253號,"No. 253, Section 3, Nanjing East Road, Songshan District, Taipei City, Taiwan 105","25.0520565, 121.5445172"
中和新蘆線,南勢角,新北市中和區捷運路6號 ,"No. 6, Jieyun Road, Zhonghe District, New Taipei City, Taiwan 235","24.9899168, 121.5090114"
板南線,南港,臺北市南港區忠孝東路7段380號,"No. 380, Section 7, Zhongxiao East Road, Nangang District, Taipei City, Taiwan 115","25.0518562, 121.606577"
板南線,南港展覽館,臺北市南港區研究院路1段1號,"No. 1, Section 1, Yanjiuyuan Road, Nangang District, Taipei City, Taiwan 115","25.054915, 121.6167868"
文湖線,南港軟體園區,臺北市南港區經貿二路183號,"No. 183, Jingmao 2nd Road, Nangang District, Taipei City, Taiwan 115","25.0600356, 121.6160813"
松山新店線,古亭,臺北市中正區羅斯福路2段164之1號B1,"B1, No. 164, Section 2, Roosevelt Rd, Zhongzheng District, Taipei City, Taiwan 100","25.0255152, 121.5233395"
淡水信義線,台大醫院,臺北市中正區公園路52號B1,"B1, No. 52, Gongyuan Road, Zhongzheng District, Taipei City, Taiwan 100","25.041003, 121.515715"
松山新店線,台電大樓,臺北市中正區羅斯福路3段126之5號B1,"B1, No. 126, Section 3, Roosevelt Rd, Da’an District, Taipei City, Taiwan 100","25.0205742, 121.5279607"
淡水信義線,唭哩岸,臺北市北投區東華街2段301號,"No. 301, Section 2, Donghua St, Beitou District, Taipei City, Taiwan 112","25.1208763, 121.5062194"
板南線,善導寺,臺北市中正區忠孝東路1段58號B1,"B1, No. 1, Section 3, Zhongxiao E Rd, Da’an District, Taipei City, Taiwan 106","25.0424604, 121.5356504"
板南線,國父紀念館,臺北市信義區忠孝東路4段400號,"No. 400, Section 4, Zhongxiao East Road, Xinyi District, Taipei City, Taiwan 110","25.0411779, 121.5580209"
淡水信義線,圓山,臺北市大同區酒泉街9之1號,"No. 5-9, Jiuquan Street, Zhongshan District, Taipei City, Taiwan 10491","25.0707797, 121.5207878"
板南線,土城,新北市土城區金城路1段105號B1,"B1, No. 105號, Section 1, Jincheng Road, Tucheng District, New Taipei City, Taiwan 23671","24.972736, 121.4436896"
淡水信義線,士林,臺北市士林區福德路1號,"No. 1, Fude Road, Shilin District, Taipei City, Taiwan 111","25.093535, 121.52623"
松山新店線,大坪林,新北市新店區北新路3段190號,"No. 190, Section 3, Beixin Road, Xindian District, New Taipei City, Taiwan 231","24.9831, 121.5418"
淡水信義線,大安,臺北市大安區信義路3段180號B1,"B1, No. 180, Section 3, Xinyi Road, Da’an District, Taipei City, Taiwan 106","25.0332313, 121.5423853"
淡水信義線,大安森林公園,臺北市大安區信義路3段100號B1,"B1, No. 100, Section 3, Xinyi Road, Da’an District, Taipei City, Taiwan 106","25.0333339, 121.5362106"
中和新蘆線,大橋頭,臺北市大同區民權西路223號B1,"103, Taiwan, Taipei City, Datong District, Minquan W Rd, 223號捷運大橋頭站B1","25.0630909, 121.5135996"
文湖線,大湖公園,臺北市內湖區成功路5段11號,"No. 11, Section 5, Chenggong Road, Neihu District, Taipei City, Taiwan 114","25.0833383, 121.6026639"
文湖線,大直,臺北市中山區北安路534之1號,"No. 534, Beian Road, Zhongshan District, Taipei City, Taiwan 10491","25.0796312, 121.5468085"
淡水信義線,奇岩,臺北市北投區三合街2段489號,"No. 489, Section 2, Sanhe St, Beitou District, Taipei City, Taiwan 112","25.1260169, 121.5010117"
松山新店線,小南門,臺北市中正區愛國西路22號B1,"B1, No. 22, Aiguo West Road, Zhongzheng District, Taipei City, Taiwan 100","25.0352482, 121.5114384"
小碧潭支線,小碧潭,新北市新店區中央路151號4樓,"4, No. 151, Zhongyang Road, Xindian District, New Taipei City, Taiwan 231","24.9732341, 121.5299971"
板南線,市政府,臺北市信義區忠孝東路5段2號,"No. 2, Section 5, Zhongxiao East Road, Xinyi District, Taipei City, Taiwan 110","25.0409716, 121.5651397"
環狀線,幸福,新北市新莊區思源路292號,"No. 292-6, Siyuan Rd, Xinzhuang District, New Taipei City, Taiwan 242","25.0574978, 121.4601668"
板南線,府中,新北市板橋區縣民大道1段193號B1,"220, Taiwan, New Taipei City, Banqiao District, Section 1, Xianmin Boulevard, 193號B1","25.0084318, 121.4590745"
板南線,後山埤,臺北市南港區忠孝東路6段2號,"No. 2, Section 6, Zhongxiao East Road, Nangang District, Taipei City, Taiwan 115","25.0453393, 121.5832352"
中和新蘆線,徐匯中學,新北市蘆洲區中山一路3號B1,"B1, No. 3, Zhongshan 1st Road, Luzhou District, New Taipei City, Taiwan 247","25.0803197, 121.4799041"
淡水信義線,復興崗,臺北市北投區中央北路3段53巷10號,"No. 10, Lane 53, Section 3, Zhongyang North Road, Beitou District, Taipei City, Taiwan 112","25.137636, 121.485432"
板南線,忠孝復興,臺北市大安區忠孝東路4段47號,"No. 47, Section 4, Zhongxiao East Road, Da’an District, Taipei City, Taiwan 106","25.0417939, 121.5449721"
板南線,忠孝敦化,臺北市大安區忠孝東路4段182號,"No. 182, Section 4, Zhongxiao East Road, Da’an District, Taipei City, Taiwan 106","25.0413713, 121.5516086"
板南線,忠孝新生,臺北市大安區新生南路1段67號,"No. 67, Section 1, Xinsheng S Rd, Da’an District, Taipei City, Taiwan 106","25.0420248, 121.5331036"
淡水信義線,忠義,臺北市北投區中央北路4段301號,"No. 301, Section 4, Zhongyang North Road, Beitou District, Taipei City, Taiwan 112","25.1310975, 121.4732346"
文湖線,文德,臺北市內湖區文德路214號,"No. 214, Wende Road, Neihu District, Taipei City, Taiwan 114","25.0783742, 121.5845868"
淡水信義線,新北投,臺北市北投區大業路700號,"112, Taiwan, Taipei City, Beitou District, Daye Road, 700號號","25.1369329, 121.50253"
環狀線,新北產業園區,新北市新莊區五工路35號,"No. 35, Wugong Road, Xinzhuang District, New Taipei City, Taiwan 242","25.0615483, 121.4599257"
板南線,新埔,新北市板橋區民生路3段2號B1,"220, Taiwan, New Taipei City, Banqiao District, Section 3, Minsheng Road, 2號捷運新埔站號B1","25.0242359, 121.468174"
環狀線,新埔民生,新北市板橋區民生路3段70號,"No. 70, Section 3, Minsheng Road, Banqiao District, New Taipei City, Taiwan 220","25.0259757, 121.4670128"
松山新店線,新店,新北市新店區北宜路1段2號,"No. 2, Section 1, Beiyi Road, Xindian District, New Taipei City, Taiwan 231","24.9578506, 121.5375994"
松山新店線,新店區公所,新北市新店區北新路1段295號,"No. 1, Section 2, Beixin Road, Xindian District, New Taipei City, Taiwan 231","24.971314, 121.5425885"
中和新蘆線,新莊,新北市新莊區中正路138號B1,"B1, No. 138, Zhongzheng Rd, Shulin District, New Taipei City, Taiwan 238","25.0028275, 121.4241944"
板南線,昆陽,臺北市南港區忠孝東路6段451號,"No. 451, Section 6, Zhongxiao East Road, Nangang District, Taipei City, Taiwan 115","25.0506282, 121.5937913"
淡水信義線,明德,臺北市北投區明德路95號,"No. 95, Mingde Road, Beitou District, Taipei City, Taiwan 112","25.109721, 121.518848"
中和新蘆線,景安,新北市中和區景平路486號,"No. 486, Jingping Road, Zhonghe District, New Taipei City, Taiwan 235","24.9938396, 121.504825"
環狀線,景平,新北市中和區景平路121號,"No. 121, Jingping Road, Zhonghe District, New Taipei City, Taiwan 235","24.9919681, 121.5165532"
松山新店線,景美,臺北市文山區羅斯福路6段216號,"No. 216, Section 6, Roosevelt Rd, Wenshan District, Taipei City, Taiwan 116","24.993206, 121.540571"
文湖線,木柵,臺北市文山區木柵路4段135號,"No. 135, Muzha Road, Section 4, Wenshan District, Taipei City, Taiwan 116","24.998241, 121.5731452"
文湖線,東湖,臺北市內湖區康寧路3段235號,"No. 235, Section 3, Kangning Road, Neihu District, Taipei City, Taiwan 114","25.0671258, 121.6117183"
淡水信義線,東門,臺北市大安區信義路2段166號B1,"10650, Taiwan, Taipei City, Da’an District, Section 2, Xinyi Road, 166號b1","25.0336009, 121.5292688"
中和新蘆線,東門,臺北市大安區信義路2段166號B1,"10650, Taiwan, Taipei City, Da’an District, Section 2, Xinyi Road, 166號b1","25.0336009, 121.5292688"
松山新店線,松山,臺北市松山區八德路4段742號,"No. 742, Section 4, Bade Road, Songshan District, Taipei City, Taiwan 105","25.0498315, 121.5774861"
文湖線,松山機場,臺北市松山區敦化北路338號,"No. 338, DunHua N Rd, Songshan District, Taipei City, Taiwan 105","25.063718, 121.549643"
松山新店線,松江南京,臺北市中山區松江路126號B1,"10491, Taiwan, Taipei City, Zhongshan District, Songjiang Road, 126號松江南京捷運站B1","25.052086, 121.533002"
環狀線,板新,新北市板橋區板新路109號,"No. 109, Banxin Road, Banqiao District, New Taipei City, Taiwan 220","25.0147997, 121.4718474"
板南線,板橋,新北市板橋區站前路5號B1,"220, Taiwan, New Taipei City, Banqiao District, Zhanqian Road, 5號B1","25.0145867, 121.4625171"
環狀線,橋和,新北市中和區板南路430號,"No. 430, Bannan Road, Zhonghe District, New Taipei City, Taiwan 235","25.0047883, 121.4902987"
淡水信義線,民權西路,臺北市大同區民權西路72號,"No. 72, Minquan W Rd, Zhongshan District, Taipei City, Taiwan 10491","25.0626118, 121.5195281"
中和新蘆線,民權西路,臺北市大同區民權西路72號,"No. 72, Minquan W Rd, Zhongshan District, Taipei City, Taiwan 10491","25.0626118, 121.5195281"
中和新蘆線,永安市場,新北市中和區中和路388號,"No. 388, Zhonghe Road, Zhonghe District, New Taipei City, Taiwan 235","25.0023426, 121.5109643"
板南線,永寧,新北市土城區中央路3段105號B1,"236, Taiwan, New Taipei City, Tucheng District, Section 3, Zhongyang Rd, 105號B1樓","24.9667804, 121.4364794"
板南線,永春,臺北市信義區忠孝東路5段455號,"No. 455, Section 5, Zhongxiao East Road, Xinyi District, Taipei City, Taiwan 110","25.041007, 121.576419"
板南線,江子翠,新北市板橋區文化路2段296號B1,"B1, No. 296, Section 2, Wenhua Road, Banqiao District, New Taipei City, Taiwan 220","25.0296685, 121.4723603"
淡水信義線,淡水,新北市淡水區中正路1號,"No. 1, Fude Road, Shilin District, Taipei City, Taiwan 111","25.093535, 121.52623"
文湖線,港墘,臺北市內湖區內湖路1段663號,"No. 663, Section 1, Neihu Rd, Neihu District, Taipei City, Taiwan 114","25.0801772, 121.5756865"
淡水信義線,石牌,臺北市北投區石牌路1段200號,"No. 1, Shipai Road, Beitou District, Taipei City, Taiwan 112","25.1126143, 121.5095241"
環狀線,秀朗橋,新北市中和區景平路2號,"No. 2, Jingping Road, Zhonghe District, New Taipei City, Taiwan 235","24.9905493, 121.5250505"
文湖線,科技大樓,臺北市大安區復興南路2段235號,"No. 235, Section 2, Fuxing South Road, Da’an District, Taipei City, Taiwan 106","25.0261461, 121.5436466"
淡水信義線,竹圍,新北市淡水區民權路50號,"No. 50, Minquan Road, Tamsui District, New Taipei City, Taiwan 251","25.1360968, 121.4596903"
淡水信義線,紅樹林,新北市淡水區中正東路2段68號,"No. 68, Section 2, Zhongzheng East Road, Tamsui District, New Taipei City, Taiwan 251","25.1547244, 121.4589193"
淡水信義線,臺北101/世貿,臺北市信義區信義路5段20號B1,"B1, No. 20, Section 5, Xinyi Rd, Xinyi District, Taipei City, Taiwan 110","25.0327792, 121.5636894"
松山新店線,臺北小巨蛋,臺北市松山區南京東路4段10之1號,"No. 10之1號, Section 4, Nanjing East Road, Songshan District, Taipei City, Taiwan 105","25.0519839, 121.5495349"
中和新蘆線,臺北橋,新北市三重區重新路1段108號B1,"B1, No. 108號, Section 1, Chongxin Road, Sanchong District, New Taipei City, Taiwan 241","25.063052, 121.5009628"
淡水信義線,臺北車站,臺北市中正區忠孝西路1段49號,"No. 49, Section 1, Zhongxiao West Road, Zhongzheng District, Taipei City, Taiwan 100","25.0463846, 121.5178642"
淡水信義線,芝山,臺北市士林區福國路70號,"No. 70, Fuguo Road, Shilin District, Taipei City, Taiwan 111","25.1030599, 121.522514"
中和新蘆線,菜寮,新北市三重區重新路3段150號B1 ,"241, Taiwan, New Taipei City, Sanchong District, Section 3, Chongxin Road, 150號B1樓","25.0594539, 121.491432"
文湖線,萬芳社區,臺北市文山區萬芳路60號,"No. 60-7, Wanfang Road, Wenshan District, Taipei City, Taiwan 116","24.998351, 121.5685001"
文湖線,萬芳醫院,臺北市文山區興隆路3段113號,"No. 113, Section 3, Xinglong Road, Wenshan District, Taipei City, Taiwan 116","24.9993857, 121.5581518"
松山新店線,萬隆,臺北市文山區羅斯福路5段214號,"No. 214, Section 5, Roosevelt Rd, Wenshan District, Taipei City, Taiwan 116","25.0025772, 121.5385812"
文湖線,葫洲,臺北市內湖區康寧路3段16號,"No. 16, Section 3, Kangning Road, Neihu District, Taipei City, Taiwan 114","25.0725219, 121.6072978"
中和新蘆線,蘆洲,新北市蘆洲區三民路386號B1,"B1, No. 386, Sanmin Road, Luzhou District, New Taipei City, Taiwan 247","25.0915536, 121.4644714"
中和新蘆線,行天宮,臺北市中山區松江路316號B1,"10468, Taiwan, Taipei City, Zhongshan District, Songjiang Road, 316號B1","25.0604614, 121.53282"
文湖線,西湖,臺北市內湖區內湖路1段256號,"No. 256, Section 1, Neihu Rd, Neihu District, Taipei City, Taiwan 114","25.0820029, 121.5671357"
松山新店線,西門,臺北市中正區寶慶路32之1號B1,"100, Taiwan, Taipei City, Zhongzheng District, Baoqing Road, 32-1號號B1","25.041746, 121.508652"
淡水信義線,象山,臺北市信義區信義路5段152號B1,"No. 152, Section 5, Xinyi Rd, Xinyi District, Taipei City, Taiwan 110","25.0326708, 121.5695364"
中和新蘆線,輔大,新北市新莊區中正路510之1號B1,"B1, No. 510, Zhongzheng Rd, Xinzhuang District, New Taipei City, Taiwan 242","25.033647, 121.4332585"
文湖線,辛亥,臺北市文山區辛亥路4段128號,"No. 128-11號, Section 4, Xinhai Road, Wenshan District, Taipei City, Taiwan 116","25.0054756, 121.5565917"
中和新蘆線,迴龍,新北市新莊區中正路758號B1,"242, Taiwan, New Taipei City, Xinzhuang District, Zhongzheng Rd, 758號Bl迴龍捷運站B1","25.0219364, 121.4116256"
淡水信義線,關渡,臺北市北投區大度路3段296巷51號,"No. 51, Lane 296, Section 3, Dadu Road, Beitou District, Taipei City, Taiwan 112","25.1253502, 121.4671526"
淡水信義線,雙連,臺北市大同區民生西路47號,"No. 47, Minsheng West Road, Zhongshan District, Taipei City, Taiwan 10491","25.0578695, 121.5206454"
板南線,頂埔,新北市土城區中央路4段51之6號B3,"B3, No. 51, Section 4, Zhongyang Road, Tucheng District, New Taipei City, Taiwan 236","24.9598747, 121.4211303"
中和新蘆線,頂溪,新北市永和區永和路2段168號B1,"B1, No. 168, Section 2, Yonghe Road, Yonghe District, New Taipei City, Taiwan 234","25.012836, 121.5154203"
中和新蘆線,頭前庄,新北市新莊區思源路18號B1,"242, Taiwan, New Taipei City, Xinzhuang District, Siyuan Rd, 18號B1樓","25.039775, 121.460772"
文湖線,麟光,臺北市大安區和平東路3段410號,"No. 410, Section 3, Heping East Road, Da’an District, Taipei City, Taiwan 106","25.024896, 121.541769"
板南線,龍山寺,臺北市萬華區西園路1段153號,"No. 153, Section 1, Xiyuan Road, Wanhua District, Taipei City, Taiwan 108","25.0354582, 121.4995797"
